,title,genres,year,originals,everything
1537,Tamra Island,"drama,action-and-adventure,science-fiction,comedy,fantasy",2009,0,"Set in the 17th Century, Jang Beo-jin is a young female diver on Tamra Island. She doesn't particularly enjoy her situation and dreams of one day leaving the island. One day, to her shock, she discovers a young blond haired man laying on the beach. The young man's name is William and he is a shipwrecked British citizen. Another young man named Park Kyu enters the island under the disguise of one of the many convicts sent to Tamra Island. In actuality, Park Kyu is a budding government official known as a Seonbi. These three young people then become involved in a hilarious love triangle. drama,action-and-adventure,science-fiction,comedy,fantasy"
1538,Tango,romance,2018,0,"The story of a quadrant of Tango dancers as they discuss the difficulties of love and how to deal with one's partner. As they all have different views, they all have different opinions on what to do after a break up. One of them however, has an opinion that is extremely far away from any of their points of view, as she believes that suicide is the perfect thing to do after breaking up with one's lover. romance"
1539,Taste of the Country,documentary,2011,0,"Charting the radical changes in the nation's farms, markets and cuisine.Taste of the Country is not currently available to stream, rent, or buy but you can track it for updates. It's a documentary show with no aired episodes yet, but you can track it for updates. Taste of the Country is still airing with no announced date for the next episode or season. documentary"
1540,Taxi Brooklyn,"action-and-adventure,crime,drama,comedy",2014,0,"Caitlin ""Cat"" Sullivan is an NYPD detective working in Brooklyn. After her driving privileges are suspended, she relies on Leo Romba, a highly skilled Brooklyn cab driver from France. Leo becomes Cat's driver and a consultant on her cases. While solving crimes with Leo, Cat is also running her own unauthorized investigation into the death of her father, an NYPD detective thought to have been executed by the Capella crime family. In doing so, she clashes with her boss, Captain Baker, and her ex-husband Gregg, who has picked up the case for the FBI. action-and-adventure,crime,drama,comedy"
1541,Tayee,drama,No info,0,"Tayea, a doctor from Upper Egypt, refuses to take revenge for his deseased father, being threatened to be killed as well, he escapes by admitting himself in prison for a small crime he ... drama"
1542,Tayo the Little Bus,"animation,children",2010,0,"Tayo the Little Bus is a South Korean computer-generated animated television series created by Educational Broadcasting System, Iconix Entertainment, Seoul and Hot Animation which is owned by HiT Entertainment. The Korean-dubbed series began airing on EBS in 2010 and the English-dubbed series aired on Disney Junior in 2012. The latter is also scheduled to air on Disney Channel and Cartoonito in 2013. The narrator of the UK series is Michael Angelis who also narrates the UK series of Thomas & Friends. animation,children"
1543,Team Kaylie,"comedy,children",2019,1,"After a brush with the law, teen celebrity Kaylie Konrad swaps social stardom for court-ordered chaos as a middle school wilderness club leader. comedy,children"
1544,Teasing Master Takagi-san,"animation,comedy,romance",2018,0,"""If you blush, you lose."" Living by this principle, the middle schooler Nishikata gets constantly made fun of by his seat neighbor Takagi-san. With his pride shattered to pieces, he vows to turn the tables and get back at her someday. And so, he attempts to tease her day after day, only to find himself victim to Takagi-san's ridicule again sooner than later. Will he be able to make Takagi-san blush from embarrassment even once in the end? animation,comedy,romance"
1545,Tech Toys 360,No info,2011,0,"Tech Toys 360 travels the globe in search of the coolest cars, gadgets and gear – million dollar supercars, jaw dropping motorcycles and the latest inventions. Experience the cutting edge technology behind these modern wonders and meet the innovators who brought them to life. No info"
1546,Tempel,"drama,crime",2016,0,"Boxer-turned-nurse Mark Tempel is threatened with being kicked out of the apartment where he lives with his daughter and disabled wife. The day the mafia violently threatens his family, Tempel returns to his former life as a boxer mixed up in petty crime. drama,crime"
1547,Teresa,"drama,romance",2010,0,"Teresa Chavez is a young woman with an obsession for money and ambition. Despite her beauty and the fact that she was raised in the bosom of a loving family, she is resentful; her one desire is to leave her humble but poor neighbourhood. drama,romance"
1548,Terrace House: Boys & Girls in the City,reality,2016,1,Six men and women start off as strangers and live together under one roof. All that is provided is a beautiful house and a car. There is no script. reality
1549,Terrace House: Opening New Doors,"reality,drama,family,romance",2017,1,"The bright young people of Terrace House return to Japan, where they live together and face new relationship challenges. reality,drama,family,romance"
1550,Terrace House: Tokyo 2019-2020,"reality,romance,drama",2019,1,"Six strangers share a fabulous house in Tokyo, looking for love while living under the same roof. With no script, what happens next is all up to them. reality,romance,drama"
1551,Terrorism Close Calls,documentary,2018,1,"The war on terror is everywhere and anywhere. In this series, we learn about the deadly terrorist attacks that almost happened or were not as deadly as planned. Each episodes explores a recently declassified terrorist scheme intended to cause mass casualties. documentary"
1552,That '70s Show,"comedy,romance,family",1998,0,"Crank up the 8-track and flash back to a time when platform shoes and puka shells were all the rage in this hilarious retro-sitcom. For Eric, Kelso, Jackie, Hyde, Donna and Fez, a group of high school teens who spend most of their time hanging out in Eric’s basement, life in the ‘70s isn’t always so groovy. But between trying to figure out the meaning of life, avoiding their parents, and dealing with out-of-control hormones, they’ve learned one thing for sure: they’ll always get by with a little help from their friends. comedy,romance,family"
1553,"That Winter, The Wind Blows","drama,romance",2013,0,"Circumstances condemn Oh Soo and Oh Young to loveless lives. After the untimely death of his first love, Oh Soo turns to an ambitionless life as a derelict gambler. The gorgeous Oh Young should be leading the perfect life as an heiress, but when her parents’ divorce crumbles the family, she faces the reality of living life alone - particularly in light of her increasingly impaired vision. When these two heavy souls cross paths, fate delivers a chance meeting that will change their lives forever. drama,romance"
1554,The 100,"drama,science-fiction,action-and-adventure,mystery,fantasy,thriller",2014,0,"100 years in the future, when the Earth has been abandoned due to radioactivity, the last surviving humans live on an ark orbiting the planet — but the ark won't last forever. So the repressive regime picks 100 expendable juvenile delinquents to send down to Earth to see if the planet is still habitable. drama,science-fiction,action-and-adventure,mystery,fantasy,thriller"
